Order Number,Plant Code,GL Exp Code,Part Number,Description part,Customer,Customer Type,Qty Ordered,Qty Shipped,Date Required,Date Shipped,Week Number,Month,% Filled, Status,%OTIF,Cause Description,Notes
1379105,10,FC1,L51300017,CTK LWS ALTO RD WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,130,130,5/30/2023,6/1/2023,Week 22,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379105,10,FC1,L51350017,CTK LWS ALTO EL WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,224,224,5/30/2023,6/1/2023,Week 22,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379920,10,RC1,001238891,ASSY COVER LOCK,CRAWFORD SUPPLY DIV OF HAJOCA,WHOLESALE,5,0,6/13/2023,6/1/2023,Week 22,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379040,10,FC1,L51300017,CTK LWS ALTO RD WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,240,240,5/26/2023,6/2/2023,Week 22,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379040,10,FC1,L51350017,CTK LWS ALTO EL WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,136,136,5/26/2023,6/2/2023,Week 22,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379103,10,FC1,L51350017,CTK LWS ALTO EL WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,240,240,5/30/2023,6/2/2023,Week 22,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379103,10,FC1,L51300017,CTK LWS ALTO RD WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,110,110,5/30/2023,6/2/2023,Week 22,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379342,10,FC1,384010000,BOWL 384 ADA WHT,SCHOLZEN PRODUCTS,WHOLESALE,18,18,5/31/2023,6/2/2023,Week 22,June,1,LATE,0,Missing another component to complete order,Needed product to ship it with
1379342,10,FC1,317310000,TANK 3173 CTL WHT 1.28,SCHOLZEN PRODUCTS,WHOLESALE,72,72,5/31/2023,6/2/2023,Week 22,June,1,LATE,0,Missing another component to complete order,Needed product to ship it with
1379342,10,FC1,016010040,TANK 160 RH WHT,SCHOLZEN PRODUCTS,WHOLESALE,18,18,5/31/2023,6/2/2023,Week 22,June,1,LATE,0,Missing another component to complete order,Needed product to ship it with
1379342,10,FC1,137210040,BOWL 137 EL ADA WHT,SCHOLZEN PRODUCTS,WHOLESALE,72,72,5/31/2023,6/2/2023,Week 22,June,1,LATE,0,Missing another component to complete order,Needed product to ship it with
1379342,10,FC1,135010007,BOWL 135 EL WHT,SCHOLZEN PRODUCTS,WHOLESALE,108,108,5/31/2023,6/2/2023,Week 22,June,1,LATE,0,Missing another component to complete order,Needed product to ship it with
1379620,10,FC8,218010001,LAV 218NS PET COVINGTON WHT,WSS - DENVER RDC 302,WHOLESALE,11,0,6/7/2023,6/2/2023,Week 22,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379620,10,FC8,148010000,BOWL 148 EL ADA WHT,WSS - DENVER RDC 302,WHOLESALE,16,0,6/7/2023,6/2/2023,Week 22,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
